user_city;user_zip;offer_location;offer_region;bookings
bünde;32257;hemer;arnsberg;1
bünde;32257;sankt peter-ording;nordfriesland;1
bünde;32257;sasbach am kaiserstuhl;freiburg;1
bürgstadt;63927;deudesfeld;vulkaneifel;1
bützow;18246;gifhorn;gifhorn;1
calberlah;38547;sankt peter-ording;nordfriesland;1
callenberg;9337;willingen;kassel;1
calw;75365;heringsdorf;ostvorpommern;1
castrop rauxel;44579;heringsdorf;ostholstein;1
castrop-rauxel;44575;ferienpark kronenburger see;cologne;1
castrop-rauxel;44581;priwall peninsula;lübeck;1
celle;29223;großenbrode;ostholstein;1
celle;29225;dahme;ostholstein;1
celle;29227;thale;harz;1
celle;29229;großenbrode;ostholstein;1
celle;29229;sandbrink;diepholz;1
chemnitz;9112;glashütt;lower bavaria;1
chemnitz;9113;balm;ostvorpommern;1
chemnitz;9114;grube;ostholstein;1
chemnitz;9114;koserow;ostvorpommern;1
chemnitz;9114;prerow;nordvorpommern;1
chemnitz;9117;emsetal;gotha;1
chemnitz;9117;hafendorf;mecklenburgische seenplatte;1
chemnitz;9117;lenggries;upper bavaria;1
chemnitz;9125;lockwitz;dresden government region;1
chemnitz;9125;zschieren;dresden government region;1
chemnitz;9126;zempin;ostvorpommern;1
chemnitz;9131;boltenhagen;nordwestmecklenburg;1
cloppenburg;49661;hooksiel;friesland;1
cloppenburg;49661;oldenburg;oldenburg;1
coesfeld;48653;jedutenberg;bremerhaven;1
coesfeld;48653;lehe;ammerland;1
coswig;1640;titisee;freiburg;1
coswig (anhalt);6868;warnemünde;rostock;1
cottbus;3042;schilksee;plön;1
cottbus;3051;kurort oybin;dresden government region;1
crailsheim;11;bad bergzabern;südliche weinstraße;1
crailsheim;74564;altglashütten;freiburg;1
cremlingen;38162;sellin;ostvorpommern;1
crivitz;19089;ostseebad;rügen;1
crottendorf;9474;warnemünde;rostock;1
cuxhaven;27476;hohendorf;nordvorpommern;1
dagebüll;25899;goting;nordfriesland;1
dahlenburg;21368;waase;rügen;1
dallgow-döberitz;14624;wustrow;nordvorpommern;1
dankmarshausen;99837;ofterschwang;swabia;1
dannewerk;24867;schönwald im schwarzwald;freiburg;1
darmstadt;64283;fischen;swabia;1
darmstadt;64295;niederaula;kassel;1
darmstadt;64297;bensheim;darmstadt;1
darmstadt;64297;helpt;mecklenburg-strelitz;1
dasing;86453;baabe;rügen;1
datteln;45711;friedrichskoog;dithmarschen;1
datteln;45711;güntersberge;harz;1
datteln;45711;liesen;arnsberg;1
dautphetal;35232;großenbrode;ostholstein;1
deggendorf;94469;baabe;rügen;1
deinstedt;27446;hafendorf;mecklenburgische seenplatte;1
deinstedt;27446;rerik;rostock;1
deisel;34388;zirchow;ostvorpommern;1
delbrück-ostenland;33129;grömitz;ostholstein;1
delitzsch;4509;dändorf;nordvorpommern;1
delmenhorst;27751;gronau;cologne;1
delmenhorst;27751;zingst;nordvorpommern;1
delmenhorst;27753;neuringe;emsland;1
demitz-thumitz;1877;bansin;ostvorpommern;1
dessau - roßlau;6844;zingst;nordvorpommern;1
dessau-roßlau;6846;kurort oberwiesenthal;chemnitz;1
dessau-roßlau;6849;seebad heringsdorf;ostvorpommern;1
dessau-roßlau;6862;karlshagen;ostvorpommern;1
detmold;32756;rott;detmold;1
detmold;32756;westerhever;nordfriesland;1
detmold;32758;graal;rostock;1
detmold;32760;niedersalwey;arnsberg;1
detmold;32760;niendorf/ostsee;ostholstein;1
dettenhausen;72135;priwall peninsula;lübeck;1
diedorf;86420;blossersberg;lower bavaria;1
diepholz;49356;borkum;leer;1
diepholz;49356;kappeln;schleswig-flensburg;1
diessen am ammersee;86911;bühl a.alpsee;swabia;1
diessen am ammersee;86911;viechtach;lower bavaria;1
dietzenbach;63128;pelzerhaken;ostholstein;1
dillingen;66763;haustadt;merzig-wadern;1
dingolfing;84130;frohnhausen;düsseldorf;1
dinslaken;46537;borkum;leer;1
dinslaken;46537;gammendorf;ostholstein;1
dinslaken;46537;ostseebad;rügen;1
dinslaken;46539;haffkrug;ostholstein;1
dissen;49201;ahlbeck;ostvorpommern;1
dissen;49201;dagebüll;nordfriesland;1
dissen;49201;montroyal;bernkastel-wittlich;1
doberschau;2692;stubbenfelde;ostvorpommern;1
doberschütz;4838;altenholz-klausdorf;rendsburg-eckernförde;1
doberschütz;4838;haffkrug;ostholstein;1
dohna;1809;grünheide;chemnitz;1
dommitzsch;4880;thale;harz;1
donaustauf;93093;kühlungsborn;rostock;1
dormagen;41542;friedrichskoog-spitze;dithmarschen;1
dornum;26553;neßmersiel;aurich;1
dornum;26553;wangerooge;friesland;1
dornum;26553;weitendorf-hof;nordwestmecklenburg;1
dorsten;46282;cranzahl;chemnitz;1
dorsten;46282;hooksiel;friesland;1
dorsten;46284;rudow;neukölln;1
dorsten;46286;staberdorf;ostholstein;1
dortmund;44122;hemer;arnsberg;1
dortmund;44139;rinnthal;südliche weinstraße;1
dortmund;44139;surendorf;rendsburg-eckernförde;1
dortmund;44141;medebach;arnsberg;1
dortmund;44141;tjücher äcker;aurich;1
dortmund;44143;carolinensiel;wittmund;1
dortmund;44143;hooksiel;friesland;1
dortmund;44143;koogsreihe;nordfriesland;1
dortmund;44143;norddeich;aurich;1
dortmund;44143;speyer;speyer;1
dortmund;44143;süderhafen;nordfriesland;1
dortmund;44147;glowe;rügen;1
dortmund;44147;oland;nordfriesland;1
dortmund;44149;norden;aurich;1
dortmund;44225;schillig;friesland;1
dortmund;44229;niendorf/ostsee;ostholstein;1
dortmund;44263;vadersdorf;ostholstein;1
dortmund;44265;esens;wittmund;1
dortmund;44267;boltenhagen;nordwestmecklenburg;1
dortmund;44269;eibenstock;chemnitz;1
dortmund;44287;dagebüll;nordfriesland;1
dortmund;44309;friedrichskoog-spitze;dithmarschen;1
dortmund;44309;habischried;lower bavaria;1
dortmund;44319;elkeringhausen;arnsberg;1
dortmund;44328;kleinern;kassel;1
dortmund;44328;niedersfeld;arnsberg;1
dortmund;44328;schillig;friesland;1
dortmund;44339;humboldt - gremberg;cologne;1
dortmund;44369;usedom;ostvorpommern;1
dortmund;44379;norddeich;aurich;1
dortmund;44379;sandbrink;diepholz;1
dossenheim;69221;schausende;schleswig-flensburg;1
dossenheim;69221;süderbrarup;schleswig-flensburg;1
dreetz;16845;warnemünde;rostock;1
dreieich;63303;weyer;giessen;1
drensteinfurt;48317;greetsiel;aurich;1
drensteinfurt;48317;wissinghausen;arnsberg;1
dresden;1097;nordwerdum;wittmund;1
dresden;1097;rankwitz;ostvorpommern;1
dresden;1099;baabe;rügen;1
dresden;1099;binz;rügen;1
dresden;1099;hohendorf;nordvorpommern;1
dresden;1108;parow;nordvorpommern;1
dresden;1109;silberberg;lower bavaria;1
dresden;1109;ummanz;rügen;1
dresden;1129;rankwitz;ostvorpommern;1
dresden;1129;untergöhren;mecklenburgische seenplatte;1
dresden;1129;zingst;nordvorpommern;1
dresden;1139;lietzow;rügen;1
dresden;1139;olpenitzdorf;schleswig-flensburg;1
dresden;1139;remplin;demmin;1
dresden;1157;glowe;rügen;1
dresden;1189;priwall peninsula;lübeck;1
dresden;1189;pöhla;chemnitz;1
dresden;1189;zingst;nordvorpommern;1
dresden;1219;hasselfelde;harz;1
dresden;1257;staberdorf;ostholstein;1
dresden;1259;priwall peninsula;lübeck;1
dresden;1259;zingst;nordvorpommern;1
dresden;1277;bad saarow;oder-spree;1
dresden;1277;rittersgrün;chemnitz;1
dresden;1307;fuhlendorf;nordvorpommern;1
dresden;1309;glowe;rügen;1
duderstadt;37115;binz;rügen;1
duingen;31089;gifhorn;gifhorn;1
duisburg;47057;kurort oberwiesenthal;chemnitz;1
duisburg;47057;priwall peninsula;lübeck;1
duisburg;47137;norddeich;aurich;1
duisburg;47139;sandbrink;diepholz;1
duisburg;47166;heessen;schaumburg;1
duisburg;47167;ahrenshoop;nordvorpommern;1
duisburg;47167;osteel;aurich;1
duisburg;47226;eisenach;wartburgkreis;1
duisburg;47226;schönhagen;rendsburg-eckernförde;1
duisburg;47228;merl;cochem-zell;1
duisburg;47239;deudesfeld;vulkaneifel;1
duisburg;47239;korweiler;rhein-hunsrück-kreis;1
duisburg;47249;heiligenhafen;ostholstein;1
duisburg;47259;bansin;ostvorpommern;1
duisburg;47259;niedersfeld;arnsberg;1
duisburg;47269;kampen;nordfriesland;1
duisburg;47269;rickenbach;freiburg;1
duisburg;47269;zachenberg;lower bavaria;1
duisburg;47279;schwalenberg;detmold;1
durmersheim;76448;innerlehen;freiburg;1
durmersheim;76448;köndringen;freiburg;1
durmersheim;76448;stahlbrode;nordvorpommern;1
dusseldorf;40547;midlum;leer;1
dänischenhagen;24229;kappeln;schleswig-flensburg;1
döbeln;4720;boltenhagen;nordwestmecklenburg;1
döbeln;4720;oberwössen;upper bavaria;1
döhlau;95182;bernkastel-kues;bernkastel-wittlich;1
dülmen;48249;priwall peninsula;lübeck;1
dülmen;48249;thale;harz;1
düren;52351;karschau;schleswig-flensburg;1
düren;52351;wyk auf föhr;nordfriesland;1
düsseldorf;40221;büsum;dithmarschen;1
düsseldorf;40221;woldegk;woldegk;1
düsseldorf;40229;winterberg;arnsberg;1
düsseldorf;40233;rohren;cologne;1
düsseldorf;40235;friedrichskoog-spitze;dithmarschen;1
düsseldorf;40235;priwall peninsula;lübeck;1
düsseldorf;40237;zilsdorf;vulkaneifel;1
düsseldorf;40472;niendorf/ostsee;ostholstein;1
düsseldorf;40472;oberemmel;trier-saarburg;1
düsseldorf;40472;seehof;nordwestmecklenburg;1
düsseldorf;40479;wenningstedt-braderup;nordfriesland;1
düsseldorf;40545;kappeln;schleswig-flensburg;1
düsseldorf;40547;manderscheid;bernkastel-wittlich;1
düsseldorf;40549;heiligenhafen;ostholstein;1
düsseldorf;40549;huppenbroich;cologne;1
düsseldorf;40549;langeoog;wittmund;1
düsseldorf;40549;seepark kirchheim;kassel;1
düsseldorf;40597;lehe;ammerland;1
düsseldorf;40625;hooksiel;friesland;1
eberswalde;16225;wernigerode;harz;1
ebsdorfergrund;35085;feriendorf frankenau;kassel;1
eckental;90542;arnbruck;lower bavaria;1
eckental;90542;süderende;nordfriesland;1
eckernförde;24340;abwinkl;upper bavaria;1
edenkoben;67480;prerow;nordvorpommern;1
edermünde;34295;friedrichskoog-spitze;dithmarschen;1
edingen-neckarhausen;68535;ofterschwang;swabia;1
egelsbach;63329;lüneburg;lüneburg;1
eggenstein;76344;knielingen;karlsruhe;1
eggermühlen;49577;werdern;arnsberg;1
eggersdorf;15345;zermützel;ostprignitz-ruppin;1
egling a.d. paar;86492;jaderaltendeich;wesermarsch;1
ehlscheid;56581;klein labenz;rostock;1
ehringshausen;35630;giessen;giessen;1
einbeck;37574;sandbrink;diepholz;1
eisenach;99817;brückrachdorf;neuwied;1
eisenach;99817;trent;rügen;1
eisenach;99817;zingst;nordvorpommern;1
eisenberg;7607;krakow am see;rostock;1
eisenberg;67304;ferienpark heilbachsee;vulkaneifel;1
eisfeld;98673;einberg;upper franconia;1
eisingen;97249;ditzum;leer;1
eisingen;97249;königssee;upper bavaria;1
eisleben;6295;zinnowitz;ostvorpommern;1
eitorf;53783;fedderwardersiel;wesermarsch;1
ellwangen;73479;leutkirch im allgäu;tübingen;1
elmenhorst;18107;kappeln;schleswig-flensburg;1
elmshorn;25335;boren;schleswig-flensburg;1
elmshorn;25335;olpenitzdorf;schleswig-flensburg;1
elsdorf;50189;dagebüll;nordfriesland;1
elsdorf;50189;osterreinen;swabia;1
elsdorf;50189;schönhagen;rendsburg-eckernförde;1
elsterheide;2979;zerpenschleuse;barnim;1
elstertrebnitz;4523;klingenthal;chemnitz;1
eltville;65343;kappeln;schleswig-flensburg;1
eltville;65343;moormerland;leer;1
elz;65604;neustadt am rennsteig;langer berg;1
embsen;21409;großenbrode;ostholstein;1
emden;26723;röbel;mecklenburgische seenplatte;1
emden;26725emden;ostseebad;rügen;1
emlichheim;49824;butjadingen;wesermarsch;1
emlichheim;49824;wernigerode;harz;1
emsdetten;48282;bockholt;münster;1
emsdetten;48282;heimbach;cologne;1
engehausen;29690;steinwarder;ostholstein;1
ense;59469;niedersalwey;arnsberg;1
eppertshausen;64859;zingst;nordvorpommern;1
eppstein;65817;müritz;rostock;1
eppstein;65817;zingst;nordvorpommern;1
erbach;64711;monreal;mayen-koblenz;1
erftstadt;50374;alt travemünde - rönnau;lübeck;1
erftstadt;50374;au;upper bavaria;1
erftstadt;50374;bansin;ostvorpommern;1
erftstadt;50374;hatshausen;leer;1
erftstadt;50374;norddeich;aurich;1
erftstadt;50374;sillens;wesermarsch;1
erfurt;99085;prerow;nordvorpommern;1
erfurt;99085;roes;cochem-zell;1
erfurt;99086;ribnitz;rostock;1
erfurt;99096;bansin;ostvorpommern;1
erfurt;99096;zingst;nordvorpommern;1
erfurt;99097;hinternah;hildburghausen;1
erfurt;99099;groß zicker;rügen;1
ergolding;84030;prerow;nordvorpommern;1
eriskirch;88097;neudes;upper franconia;1
erkelenz;41812;dangast;friesland;1
erkner;15537;mauth;lower bavaria;1
erkrath;40699;küstelberg;arnsberg;1
erlangen;91056;dagebüll;nordfriesland;1
erlangen;91058;zingst;nordvorpommern;1
erlangen;91058;zirchow;ostvorpommern;1
erpel;53579;rudow;neukölln;1
eschborn;65760;gudendorf;dithmarschen;1
eschborn;65760;neßmersiel;aurich;1
escheburg;21039;westerdeichstrich;dithmarschen;1
eschershausen;37632;burhave;wesermarsch;1
eschweiler;52249;bensersiel;wittmund;1
espelkamp;32339;thale;harz;1
essen;45127;köllerbach;saarbrücken;1
essen;45134;falkau;freiburg;1
essen;45138;frohnhausen;düsseldorf;1
essen;45139;dagebüll;nordfriesland;1
essen;45141;kronenburg;cologne;1
essen;45144;altstadt;freiburg;1
essen;45144;haffkrug;ostholstein;1
essen;45219;bad urach;tübingen;1
essen;45259;priwall peninsula;lübeck;1
essen;45276;rennerod;westerwaldkreis;1
essen;45277;burhave;wesermarsch;1
essen;45289;eisenschmitt;bernkastel-wittlich;1
essen;45326;jemgum;leer;1
essen;45327;carolinensiel;wittmund;1
essen;45329;jordanshöhe;goslar;1
essen;45356;wyk auf föhr;nordfriesland;1
essen;45359;steinwarder;ostholstein;1
essen;45359;zingst;nordvorpommern;1
essen;49632;bad harzburg;goslar;1
essen, ruhr;45326;laboe;plön;1
etschberg;66871;kalterherberg;cologne;1
ettringen;56729;bettenfeld;bernkastel-wittlich;1
euskirchen;53881;timmendorfer strand;ostholstein;1
eutin;23701;jordanshöhe;goslar;1
eutin;23701;obermaiselstein;swabia;1
everswinkel;48351;münster;münster;1
falkenberg ot kruge;16259;wendtorfer strand;plön;1
falkensee;14612;sellin;ostvorpommern;1
falkensee;14612;teßmannsdorf;rostock;1
falkensee;14612;vieregge;rügen;1
faßberg;29328;norderteil;cuxhaven;1
feilitzsch;95183;glowe;rügen;1
feldafing;82340;bad könig;darmstadt;1
felde;24242;kappeln;schleswig-flensburg;1
fellbach;70736;mühlenbach;freiburg;1
feuchtwangen;91555;bargebur;aurich;1
finnentrop;57413;grömitz;ostholstein;1
finsterwalde;3238;jabel;mecklenburgische seenplatte;1
flechtingen;39345;graal;rostock;1
flensburg;24939;sankt peter-ording;nordfriesland;1
flensburg;24944;wackerballig;schleswig-flensburg;1
fockbek;24787;sankt peter-ording;nordfriesland;1
frankfurt;60316;sankt peter-ording;nordfriesland;1
frankfurt;60318;wismar;nordwestmecklenburg;1
frankfurt;60326;niedersfeld;arnsberg;1
frankfurt;60326;oldenburg;oldenburg;1
frankfurt;60329;hollern;stade;1
frankfurt;60385;kühlungsborn;rostock;1
frankfurt;60487;heiligenhafen;ostholstein;1
frankfurt;60488;sandbrink;diepholz;1
frankfurt;60528;nordend-ost;darmstadt;1
frankfurt;65931;altefähr;rügen;1
frankfurt (oder);15236;lancken;rügen;1
frankfurt am main;60320;glowe;rügen;1
frankfurt am main;60320;jordanshöhe;goslar;1
frankfurt am main;60329;bahnhofsviertel;darmstadt;1
frankfurt am main;60329;strotzbüsch;vulkaneifel;1
frankfurt am main;60388;börgerende;rostock;1
frankfurt am main;60388;südwinsen;celle;1
frankfurt am main;60528;schönenbach;freiburg;1
frankfurt am main;60598;humboldt - gremberg;cologne;1
frankfurt am main;60599;dorfmark;heidekreis;1
frankfurt am main;65933;walchum;emsland;1
frauendorf;1945;börgerende;rostock;1
frechen;50226;feriendorf freilingen;cologne;1
frechen;50226;heringsdorf;ostholstein;1
frechen;50226;kappeln;schleswig-flensburg;1
frechen;50226;norddeich;aurich;1
fredenbeck;21717;olpenitzdorf;schleswig-flensburg;1
fredersdorf;15370;rott;detmold;1
fredersdorf;15370;wernigerode;harz;1
fredersdorf-vogelsdorf;15370;priwall peninsula;lübeck;1
fredersdorf-vogelsdorf;15370;tanne;harz;1
freiberg;9599;groß schwansee;nordwestmecklenburg;1
freiburg;79106;tinnum;nordfriesland;1
freiburg;79112;speyer;speyer;1
freiburg im breisgau;79117;alpirsbach;karlsruhe;1
freigericht;63579;hillesheim;vulkaneifel;1
freising;85354;eckernförde;rendsburg-eckernförde;1
freising;85356;bad reichenhall;upper bavaria;1
freital;1705;büsum;dithmarschen;1
freital;1705;sellin;rügen;1
freyburg;6632;thale;harz;1
frickenhausen;72636;schollach;freiburg;1
frickenhausen;97252;ostseebad;rügen;1
friedberg;61169;oberasberg;lower bavaria;1
friedrichsruhe;19089;prora;rügen;1
frielendorf;34621;großenbrode;ostholstein;1
frielendorf;34621;zingst;nordvorpommern;1
friesoythe;26169;bansin;ostvorpommern;1
friesoythe;26169;börgerende;rostock;1
friesoythe;26169;staberdorf;ostholstein;1
fritzlar;34560;olpenitzdorf;schleswig-flensburg;1
fronhausen;35112;korswandt;ostvorpommern;1
fuchshain;4683;göhren;rügen;1
fulda;36037;radisleben;harz;1
fulda;36041;westerland;nordfriesland;1
fuldabrück;34277;burhave;wesermarsch;1
fuldabrück;34277;drei;schleswig-flensburg;1
fuldabrück;34277;kaimt;cochem-zell;1
fürstenwalde;15517;büsum;dithmarschen;1
fürth;90763;mühlheim;upper bavaria;1
gachenbach;86565;nienkattbek;rendsburg-eckernförde;1
gaggenau;76571;luft;upper bavaria;1
gaggenau;76571;mauth;lower bavaria;1
gailingen;78262;west;freiburg;1
ganderkesee;27777;grömitz;ostholstein;1
ganderkesee;27777;heiligenhafen;ostholstein;1
ganderkesee;27777;sandbrink;diepholz;1
ganderkesee;27777;westerland;nordfriesland;1
garbsen;30827;steinhude;hanover region;1
garching;85748;bohnsdorf;treptow-köpenick;1
gardelegen;39638;norderteil;cuxhaven;1
gardelegen;39638;stralsund;nordvorpommern;1
garding;25836;priwall peninsula;lübeck;1
garmisch-partenkirchen;82467;borkum;leer;1
gaustritz;1728;niehagen;nordvorpommern;1
geeste;49744;wangerland;friesland;1
geesthacht;21502;großenbrode;ostholstein;1
geesthacht;21502;kühlungsborn ost;rostock;1
gefrees;95482;dambach;middle franconia;1
gehrden;30989;schilksee;plön;1
geilenkirchen;52511;bad münster am stein-ebernburg;bad kreuznach;1
geilenkirchen;52511;feriendorf venekotensee;düsseldorf;1
geisa;36419;reithamm;aurich;1
geisenheim;65366;brückrachdorf;neuwied;1
geithain;4643;vieregge;rügen;1
gelnhausen;63571;funnix;wittmund;1
gelnhausen;63571;haffkrug;ostholstein;1
gelnhausen;63571;treuen;chemnitz;1
gelsenkirchen;45879;burhave;wesermarsch;1
gelsenkirchen;45881;löcknitz;uecker-randow;1
gelsenkirchen;45881;schweighausen;freiburg;1
gelsenkirchen;45886;zierow;nordwestmecklenburg;1
gelsenkirchen;45888;nesse;aurich;1
gelsenkirchen;45889;borken;münster;1
gelsenkirchen;45891;bürgerpark;bremerhaven;1
gelsenkirchen;45891;norddeich;aurich;1
gelsenkirchen;45892;husum;nordfriesland;1
gelsenkirchen;45892;niendorf/ostsee;ostholstein;1
gelsenkirchen;45892;olpenitzdorf;schleswig-flensburg;1
gelsenkirchen;45896;stolberg (rhineland);cologne;1
gelsenkirchen;45897;ediger-eller;cochem-zell;1
gelsenkirchen;45897;westerland;nordfriesland;1
gelsenkirchen;45899;burg auf fehmarn;ostholstein;1
georgenthal;99887;höfen;cologne;1
georgsmarienhütte;49124;wangerooge;friesland;1
georgsmarienhütte;49124;waren;müritz;1
gera;7548;groschwitz;saalfeld-rudolstadt;1
gera;7549;lobbe;rügen;1
geratal;99331;zingst;nordvorpommern;1
gerau;4683;sandbrink;diepholz;1
gerbrunn;97218;schwarzenbach am wald;upper franconia;1
germany;10965;schwöb;upper bavaria;1
germering;82100;tretting;upper palatinate;1
germering;82110;altstadt;middle franconia;1
germering;82110;stellichte;heidekreis;1
gersdorf;1920;altefähr;rügen;1
gersfeld;36129;ediger-eller;cochem-zell;1
gersheim;66453;marquartstein;upper bavaria;1
gerstetten-heuchlingen;89547;obereßfeld;lower franconia;1
gescher;48712;westerhever;nordfriesland;1
gettorf;24214;hohwacht;plön;1
giessen;35390;fuchsberg;upper palatinate;1
giessen;35398;aschersleben;salzlandkreis;1
gießen;35390;sandbrink;diepholz;1
gießen;35396;niendorf/ostsee;ostholstein;1
gifhorn;38518;burhave;wesermarsch;1
gifhorn;38518;gifhorn;gifhorn;1
gifhorn;38518;heringsdorf;ostholstein;1
gifhorn;38618;gifhorn;gifhorn;1
gladbeck;45964;norddeich;aurich;1
gladbeck;45966;born;detmold;1
gladbeck;45968;heringsdorf;ostholstein;1
gladenbach-weidenhausen;35075;dittishausen;freiburg;1
gleschendorf;23684;jordanshöhe;goslar;1
glienicke/nordbahn;16548;hohwacht;plön;1
glienicke/nordbahn;16548;osterdeich;nordfriesland;1
glindenberg;39326;jordanshöhe;goslar;1
glindenberg;39326;pouch;anhalt-bitterfeld;1
glindenberg;39326;zirchow;ostvorpommern;1
glückstadt;25348;ahlbeck;ostvorpommern;1
glückstadt;25348;alt travemünde - rönnau;lübeck;1
glückstadt;25348;niendorf;nordwestmecklenburg;1
glückstadt;25348;ostseebad;rügen;1
goch;47574;kappeln;schleswig-flensburg;1
gochsheim;97469;dießen am ammersee;upper bavaria;1
goerlitz;2826;blankenburg;harz;1
gommern;39245;ahlbeck;ostvorpommern;1
gornau;9405;eibenstock;chemnitz;1
goslar;38640;alt travemünde - rönnau;lübeck;1
goslar;38642;hüttenbusch;osterholz;1
gotha;99867;krakow am see;rostock;1
gotha;99867;thal;wartburgkreis;1
grambow;19071;kappeln;schleswig-flensburg;1
grammetal;99428;bastorf;rostock;1
greifswald;17489;winterberg;arnsberg;1
grevenbroich;41515;carolinensiel;wittmund;1
grevenbroich;41516;esens;wittmund;1
grevenbroich;41516;hooksiel;friesland;1
grevenbroich;41516;höfen;cologne;1
grevenbroich;41516;winterberg;arnsberg;1
grevesmühlen;23936;schlettau;chemnitz;1
griesheim;64347;reimboldshausen;kassel;1
grimma ot mutzschen;4668;häusles;upper franconia;1
gronau;48599;epe;münster;1
gronau;48599;seibranz;tübingen;1
grossvargula;99958;blankenburg;harz;1
groß kreutz (havel);14550;kühlungsborn;rostock;1
groß wokern;17166;prerow;nordvorpommern;1
groß-zimmern;64846;hafendorf;mecklenburgische seenplatte;1
groß-zimmern;64846;sandbrink;diepholz;1
großbottwar;71723;bach;upper bavaria;1
großbreitenbach ot altenfeld;98701;stessen;düsseldorf;1
großefehn;26629;ruhpolding;upper bavaria;1
großenbrode;23775;heiligenhafen;ostholstein;1
großfriesen;8541;wustrow;nordvorpommern;1
großräschen;1983;altenau;goslar;1
großschwabhausen;99441;rückeberg;schleswig-flensburg;1
gräfenhainichen;6773;eckernförde;rendsburg-eckernförde;1
grömitz;23743;zingst;nordvorpommern;1
grömitz / ot cismar;23743;emmelsbüll-horsbüll;nordfriesland;1
grünenplan;31073;vadersdorf;ostholstein;1
gummersbach;51645;seriem;wittmund;1
gummersbach;51647;dümmer;ludwigslust-parchim;1
gusow;15306;dagebüll;nordfriesland;1
gutersloh;33335;rheda;detmold;1
gutglück;16356;bad bevensen;uelzen;1
guxhagen;34302;priwall peninsula;lübeck;1
gäufelden;71126;bad sachsa;landkreis osterode am harz;1
göggingen (württemberg);73571;roes;cochem-zell;1
göppingen;73035;steibis;swabia;1
görlitz;2826;baabe;rügen;1
görlitz;2826;ostseebad damp;rendsburg-eckernförde;1
görlitz;2827;schaufling;lower bavaria;1
göttingen;37073;altenau;goslar;1
göttingen;37073;zingst;nordvorpommern;1
göttingen;37075;quilitz;ostvorpommern;1
göttingen;37075;westerland;nordfriesland;1
göttingen;37077;niendorf/ostsee;ostholstein;1
göttingen;37079;wackerballig;schleswig-flensburg;1
göttingen;37083;hohen wieschendorf;nordwestmecklenburg;1
güsten;39439;bubesheim;swabia;1
güstrow;18273;boltenhagen;nordwestmecklenburg;1
güstrow;18273;ostseebad;rügen;1
gütersloh;33332;haffkrug;ostholstein;1
gütersloh;33332;priwall peninsula;lübeck;1
gütersloh;33334;bad malente-gremsmühlen;ostholstein;1
gütersloh;33334;friedrichskoog-spitze;dithmarschen;1
gütersloh;33334;laboe;plön;1
gütersloh;33335;großenbrode;ostholstein;1
ha;20249;süderholm;dithmarschen;1
haan;42781;boltenhagen;nordwestmecklenburg;1
haan;42781;reifferscheid;cologne;1
hagen;58091;usseln;kassel;1
hagen;58091;vadersdorf;ostholstein;1
hagen;58091;westerland;nordfriesland;1
hagen;58098;blissenbach;cologne;1
hagen;58099;burg auf fehmarn;ostholstein;1
hagen;58099;staberdorf;ostholstein;1
hagen;58135;bröckel;celle;1
hagen;58135;hohwacht;plön;1
hagenow;19230;schönhagen;rendsburg-eckernförde;1
haiger;35708;hausen;neuwied;1
hainburg;63512;dittishausen;freiburg;1
hainichen;9661;ostseebad;rügen;1
halle;6110;bad herrenalb;karlsruhe;1
halle;6110;prerow;nordvorpommern;1
halle;6116;rerik;rostock;1
halle;6120;großpösna;leipzig;1
halle;6128;lechhausen-ost;swabia;1
halle;6130;ostseebad;rügen;1
halle;6132;koserow;ostvorpommern;1
halle (saale);6110;müritz;rostock;1
halle (saale);6122;keppeln;düsseldorf;1
hallerndorf;91352;seriem;wittmund;1
haltern am see;45721;lennestadt;arnsberg;1
halver;58553;eilsum;aurich;1
hamburg;20099;tinnum;nordfriesland;1
hamburg;20144;achtrup;nordfriesland;1
hamburg;20146;jaderaltendeich;wesermarsch;1
hamburg;20149;garding;nordfriesland;1
hamburg;20249;seebad heringsdorf;ostvorpommern;1
hamburg;20251;grömitz;ostholstein;1
hamburg;20253;alt travemünde - rönnau;lübeck;1
hamburg;20255;hörnum;nordfriesland;1
hamburg;20255;karschau;schleswig-flensburg;1
hamburg;20255;röbel;mecklenburgische seenplatte;1
hamburg;20357;bad rothenfelde;osnabrück;1
hamburg;20357;groß schwansee;nordwestmecklenburg;1
hamburg;20357;gröbern;anhalt-bitterfeld;1
hamburg;20357;lensterstrand;ostholstein;1
hamburg;20357;timmendorfer strand;ostholstein;1
hamburg;20357;wyk auf föhr;nordfriesland;1
hamburg;20359;thale;harz;1
hamburg;20535;born a. darß;nordvorpommern;1
hamburg;20535;dagebüll;nordfriesland;1
hamburg;20535;garz;rügen;1
hamburg;20537;sankt peter-ording;nordfriesland;1
hamburg;20539;kappeln;schleswig-flensburg;1
hamburg;21031;alt travemünde - rönnau;lübeck;1
hamburg;21031;olpenitzdorf;schleswig-flensburg;1
hamburg;21033;hafendorf;mecklenburgische seenplatte;1
hamburg;21077;wremen;cuxhaven;1
hamburg;21107;kappeln;schleswig-flensburg;1
hamburg;21109;schönhagen;rendsburg-eckernförde;1
hamburg;21129;hohendorf;nordvorpommern;1
hamburg;22041;karschau;schleswig-flensburg;1
hamburg;22041;sankt peter-ording;nordfriesland;1
hamburg;22045;fehmarn;ostholstein;1
hamburg;22045;innenstadt;lübeck;1
hamburg;22047;priwall peninsula;lübeck;1
